NOME SUBTIPO DE CURSOS;CÓDIGO CURSO;CURSO;EIXO TECNOLÓGICO;MODALIDADE;CARGA HORÁRIA CURSO;SITUACAO ATIVO;CÓDIGO UNIDADE DE ENSINO;UNIDADE DE ENSINO;MUNICÍPIO;UF;CÓDIGO MUNICÍPIO
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;232036;TÉCNICO EM TRADUÇÃO E INTERPRETAÇÃO DE LIBRAS;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;56;TÉCNICO EM LOGÍSTICA;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;50;TÉCNICO EM ADMINISTRAÇÃO;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;59;TÉCNICO EM RECURSOS HUMANOS;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;60;TÉCNICO EM SECRETARIADO;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;73;TÉCNICO EM INFORMÁTICA;INFORMAÇÃO E COMUNICAÇÃO;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;232038;TÉCNICO EM LUDOTECA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO PRESENCIAL;800;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;13420;CETEPA - CENTRO DE ENSINO TÉCNICO DA PARAIBA;SANTA RITA;PB;2513703
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;13420;CETEPA - CENTRO DE ENSINO TÉCNICO DA PARAIBA;SANTA RITA;PB;2513703
TÉCNICO;23;TÉCNICO EM RADIOLOGIA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;13420;CETEPA - CENTRO DE ENSINO TÉCNICO DA PARAIBA;SANTA RITA;PB;2513703
TÉCNICO;9;TÉCNICO EM FARMÁCIA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;13420;CETEPA - CENTRO DE ENSINO TÉCNICO DA PARAIBA;SANTA RITA;PB;2513703
TÉCNICO;73;TÉCNICO EM INFORMÁTICA;INFORMAÇÃO E COMUNICAÇÃO;EDUCAÇÃO PRESENCIAL;1200;ATIVO;43893;EEEFM ENÉAS DE CARVALHO;SANTA RITA;PB;2513703
TÉCNICO;73;TÉCNICO EM INFORMÁTICA;INFORMAÇÃO E COMUNICAÇÃO;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42347;INSTITUTO FEDERAL DA PARAÍBA CAMPUS SANTA RITA;SANTA RITA;PB;2513703
TÉCNICO;16;TÉCNICO EM MEIO AMBIENTE;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42347;INSTITUTO FEDERAL DA PARAÍBA CAMPUS SANTA RITA;SANTA RITA;PB;2513703
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44922;CENTRO DE ENSINO TÉCNICO E PROFISSIONALIZANTE CETEP;GUARABIRA;PB;2506301
TÉCNICO;2;TÉCNICO EM ANÁLISES CLÍNICAS;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44922;CENTRO DE ENSINO TÉCNICO E PROFISSIONALIZANTE CETEP;GUARABIRA;PB;2506301
TÉCNICO;23;TÉCNICO EM RADIOLOGIA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44922;CENTRO DE ENSINO TÉCNICO E PROFISSIONALIZANTE CETEP;GUARABIRA;PB;2506301
TÉCNICO;12;TÉCNICO EM SAÚDE BUCAL;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44922;CENTRO DE ENSINO TÉCNICO E PROFISSIONALIZANTE CETEP;GUARABIRA;PB;2506301
TÉCNICO;9;TÉCNICO EM FARMÁCIA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44922;CENTRO DE ENSINO TÉCNICO E PROFISSIONALIZANTE CETEP;GUARABIRA;PB;2506301
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;13421;COLÉGIO E CURSO O PARTHENOON;GUARABIRA;PB;2506301
TÉCNICO;12;TÉCNICO EM SAÚDE BUCAL;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;13421;COLÉGIO E CURSO O PARTHENOON;GUARABIRA;PB;2506301
TÉCNICO;8;TÉCNICO EM ESTÉTICA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;13421;COLÉGIO E CURSO O PARTHENOON;GUARABIRA;PB;2506301
TÉCNICO;9;TÉCNICO EM FARMÁCIA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;13421;COLÉGIO E CURSO O PARTHENOON;GUARABIRA;PB;2506301
TÉCNICO;18;TÉCNICO EM NUTRIÇÃO E DIETÉTICA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;13421;COLÉGIO E CURSO O PARTHENOON;GUARABIRA;PB;2506301
TÉCNICO;50;TÉCNICO EM ADMINISTRAÇÃO;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;12459;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO MONSENHOR EMILIANO DE CRISTO;GUARABIRA;PB;2506301
TÉCNICO;170;TÉCNICO EM VESTUÁRIO;PRODUÇÃO INDUSTRIAL;EDUCAÇÃO PRESENCIAL;1200;ATIVO;12459;ESCOLA ESTADUAL DE ENSINO FUNDAMENTAL E MÉDIO MONSENHOR EMILIANO DE CRISTO;GUARABIRA;PB;2506301
TÉCNICO;55;TÉCNICO EM FINANÇAS;GESTÃO E NEGÓCIOS;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;47000;FACULDADE TRÊS MARIAS (FTM) - GUARABIRA I (POLO EAD);GUARABIRA;PB;2506301
TÉCNICO;32;TÉCNICO EM MULTIMEIOS DIDÁTICOS;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO A DISTÂNCIA;1200;ATIVO;47000;FACULDADE TRÊS MARIAS (FTM) - GUARABIRA I (POLO EAD);GUARABIRA;PB;2506301
TÉCNICO;57;TÉCNICO EM MARKETING;GESTÃO E NEGÓCIOS;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;47000;FACULDADE TRÊS MARIAS (FTM) - GUARABIRA I (POLO EAD);GUARABIRA;PB;2506301
TÉCNICO;50;TÉCNICO EM ADMINISTRAÇÃO;GESTÃO E NEGÓCIOS;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;47000;FACULDADE TRÊS MARIAS (FTM) - GUARABIRA I (POLO EAD);GUARABIRA;PB;2506301
TÉCNICO;232034;TÉCNICO EM SERVIÇOS JURÍDICOS;GESTÃO E NEGÓCIOS;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;47000;FACULDADE TRÊS MARIAS (FTM) - GUARABIRA I (POLO EAD);GUARABIRA;PB;2506301
TÉCNICO;60;TÉCNICO EM SECRETARIADO;GESTÃO E NEGÓCIOS;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;47000;FACULDADE TRÊS MARIAS (FTM) - GUARABIRA I (POLO EAD);GUARABIRA;PB;2506301
TÉCNICO;64;TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS;GESTÃO E NEGÓCIOS;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;47000;FACULDADE TRÊS MARIAS (FTM) - GUARABIRA I (POLO EAD);GUARABIRA;PB;2506301
TÉCNICO;73;TÉCNICO EM INFORMÁTICA;INFORMAÇÃO E COMUNICAÇÃO;EDUCAÇÃO PRESENCIAL;1200;ATIVO;20808;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS GUARABIRA;GUARABIRA;PB;2506301
TÉCNICO;53;TÉCNICO EM CONTABILIDADE;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;20808;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS GUARABIRA;GUARABIRA;PB;2506301
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO A DISTÂNCIA;1200;ATIVO;20808;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS GUARABIRA;GUARABIRA;PB;2506301
TÉCNICO;34;TÉCNICO EM SECRETARIA ESCOLAR;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;20808;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS GUARABIRA;GUARABIRA;PB;2506301
TÉCNICO;85;TÉCNICO EM EDIFICAÇÕES;INFRAESTRUTURA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;20808;INSTITUTO FEDERAL DA PARAÍBA - CAMPUS GUARABIRA;GUARABIRA;PB;2506301
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42702;CENTRO DE ENSINO TÉCNICO GRAU T - X - CARPINA;CARPINA;PE;2604007
TÉCNICO;50;TÉCNICO EM ADMINISTRAÇÃO;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;42702;CENTRO DE ENSINO TÉCNICO GRAU T - X - CARPINA;CARPINA;PE;2604007
TÉCNICO;56;TÉCNICO EM LOGÍSTICA;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;42702;CENTRO DE ENSINO TÉCNICO GRAU T - X - CARPINA;CARPINA;PE;2604007
TÉCNICO;85;TÉCNICO EM EDIFICAÇÕES;INFRAESTRUTURA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42702;CENTRO DE ENSINO TÉCNICO GRAU T - X - CARPINA;CARPINA;PE;2604007
TÉCNICO;40;TÉCNICO EM ELETROTÉCNICA;CONTROLE E PROCESSOS INDUSTRIAIS;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42702;CENTRO DE ENSINO TÉCNICO GRAU T - X - CARPINA;CARPINA;PE;2604007
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42702;CENTRO DE ENSINO TÉCNICO GRAU T - X - CARPINA;CARPINA;PE;2604007
TÉCNICO;23;TÉCNICO EM RADIOLOGIA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42702;CENTRO DE ENSINO TÉCNICO GRAU T - X - CARPINA;CARPINA;PE;2604007
TÉCNICO;9;TÉCNICO EM FARMÁCIA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42702;CENTRO DE ENSINO TÉCNICO GRAU T - X - CARPINA;CARPINA;PE;2604007
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;20367;COLÉGIO E CURSO NEME;CARPINA;PE;2604007
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;20367;COLÉGIO E CURSO NEME;CARPINA;PE;2604007
TÉCNICO;51;TÉCNICO EM COMÉRCIO;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;13690;ESCOLA TÉCNICA ESTADUAL MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;77;TÉCNICO EM REDES DE COMPUTADORES;INFORMAÇÃO E COMUNICAÇÃO;EDUCAÇÃO PRESENCIAL;1000;ATIVO;13690;ESCOLA TÉCNICA ESTADUAL MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;50;TÉCNICO EM ADMINISTRAÇÃO;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;13690;ESCOLA TÉCNICA ESTADUAL MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;58;TÉCNICO EM QUALIDADE;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;13690;ESCOLA TÉCNICA ESTADUAL MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;50;TÉCNICO EM ADMINISTRAÇÃO;GESTÃO E NEGÓCIOS;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;48214;ETE PACGC - POLO CARPINA_ETE MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;56;TÉCNICO EM LOGÍSTICA;GESTÃO E NEGÓCIOS;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;48214;ETE PACGC - POLO CARPINA_ETE MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;59;TÉCNICO EM RECURSOS HUMANOS;GESTÃO E NEGÓCIOS;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;48214;ETE PACGC - POLO CARPINA_ETE MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;30;TÉCNICO EM BIBLIOTECONOMIA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;48214;ETE PACGC - POLO CARPINA_ETE MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;32;TÉCNICO EM MULTIMEIOS DIDÁTICOS;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO A DISTÂNCIA;1200;ATIVO;48214;ETE PACGC - POLO CARPINA_ETE MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;34;TÉCNICO EM SECRETARIA ESCOLAR;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO A DISTÂNCIA;800;ATIVO;48214;ETE PACGC - POLO CARPINA_ETE MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;139;TÉCNICO EM DESIGN DE INTERIORES;PRODUÇÃO CULTURAL E DESIGN;EDUCAÇÃO A DISTÂNCIA;1200;ATIVO;48214;ETE PACGC - POLO CARPINA_ETE MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;278178;TÉCNICO EM DESENVOLVIMENTO DE SISTEMAS;INFORMAÇÃO E COMUNICAÇÃO;EDUCAÇÃO A DISTÂNCIA;1200;ATIVO;48214;ETE PACGC - POLO CARPINA_ETE MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO A DISTÂNCIA;1200;ATIVO;48214;ETE PACGC - POLO CARPINA_ETE MARIA EDUARDA RAMOS DE BARROS;CARPINA;PE;2604007
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;48784;GERA + CURSOS;CARPINA;PE;2604007
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;12893;INSTITUTO CARPINENSE DE PROFISSIONALIZAÇÃO;CARPINA;PE;2604007
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44984;MICROLINK CURSOS TÉCNICOS E PROFISSIONALIZANTES;CARPINA;PE;2604007
TÉCNICO;59;TÉCNICO EM RECURSOS HUMANOS;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;44984;MICROLINK CURSOS TÉCNICOS E PROFISSIONALIZANTES;CARPINA;PE;2604007
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;14143;CEAS - CENTRAL DE ENSINOS APLICADOS NA SAÚDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;18;TÉCNICO EM NUTRIÇÃO E DIETÉTICA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;14143;CEAS - CENTRAL DE ENSINOS APLICADOS NA SAÚDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;14143;CEAS - CENTRAL DE ENSINOS APLICADOS NA SAÚDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;2;TÉCNICO EM ANÁLISES CLÍNICAS;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;14143;CEAS - CENTRAL DE ENSINOS APLICADOS NA SAÚDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;23;TÉCNICO EM RADIOLOGIA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;14143;CEAS - CENTRAL DE ENSINOS APLICADOS NA SAÚDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;8;TÉCNICO EM ESTÉTICA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;14143;CEAS - CENTRAL DE ENSINOS APLICADOS NA SAÚDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;50;TÉCNICO EM ADMINISTRAÇÃO;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;14143;CEAS - CENTRAL DE ENSINOS APLICADOS NA SAÚDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;9;TÉCNICO EM FARMÁCIA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;14143;CEAS - CENTRAL DE ENSINOS APLICADOS NA SAÚDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;6;TÉCNICO EM ENFERMAGEM;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;2584;CEAS - ESCOLA TÉCNICA DE ENFERMAGEM E NUTRIÇÃO;CAMPINA GRANDE;PB;2504009
TÉCNICO;18;TÉCNICO EM NUTRIÇÃO E DIETÉTICA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;2584;CEAS - ESCOLA TÉCNICA DE ENFERMAGEM E NUTRIÇÃO;CAMPINA GRANDE;PB;2504009
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;4075;CENTRO DE AÇÕES MÓVEIS - CAM;CAMPINA GRANDE;PB;2504009
TÉCNICO;85;TÉCNICO EM EDIFICAÇÕES;INFRAESTRUTURA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;4075;CENTRO DE AÇÕES MÓVEIS - CAM;CAMPINA GRANDE;PB;2504009
TÉCNICO;50;TÉCNICO EM ADMINISTRAÇÃO;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;43763;CENTRO DE ENSINO GRAU TÉCNICO - CAMPINA GRANDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;85;TÉCNICO EM EDIFICAÇÕES;INFRAESTRUTURA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;43763;CENTRO DE ENSINO GRAU TÉCNICO - CAMPINA GRANDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;16;TÉCNICO EM MEIO AMBIENTE;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;43763;CENTRO DE ENSINO GRAU TÉCNICO - CAMPINA GRANDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;43763;CENTRO DE ENSINO GRAU TÉCNICO - CAMPINA GRANDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;56;TÉCNICO EM LOGÍSTICA;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;43763;CENTRO DE ENSINO GRAU TÉCNICO - CAMPINA GRANDE;CAMPINA GRANDE;PB;2504009
TÉCNICO;59;TÉCNICO EM RECURSOS HUMANOS;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;43763;CENTRO DE ENSINO GRAU TÉCNICO - CAMPINA GRANDE;CAMPINA GRANDE;PB;2504009
